Heading,Observation,observation_date,observation_processed_date
Leaking faucet,"The tap in the washbasin in the break room is dripping slowly. Does not cause water damage or slipping hazard, but consumes water.",09-01-24,11-01-24
Cable in the walkway,"A temporary network cable installed by IT support ran across the office corridor, causing a tripping hazard.",16-01-24,17-01-24
Shelf overloaded,"Too many boxes were visually stacked on the shelf in the dispatch room, which poses a risk of the shelf collapsing.",23-01-24,25-01-24
Replacing a burnt-out bulb,"One of the many lamps in the storage corridor had burned out. The lighting in the area was still adequate, but weakened.",30-01-24,01-02-24
Chemical splash on the floor,There was a small amount of unknown liquid on the floor of the laboratory without warning markings.,06-02-24,07-02-24
Emergency exit partially blocked,"A pallet full of raw materials had been left in front of the emergency exit, narrowing the passage significantly.",13-02-24,14-02-24
Worn chair upholstery,The upholstery of the seat of the office office chair is frayed. Only an aesthetic nuisance.,20-02-24,22-02-24
Inadequate use of protective clothing,An employee was moving an asthma-causing substance in a cleanroom without an appropriate respirator.,27-02-24,28-02-24
Scratch on the wall,The forklift has hit the wall and caused a deep scratch on the wall surface of the corridor. Only cosmetic damage.,05-03-24,07-03-24
Open switchboard,"The door of the electrical center in the service room had been left open, leaving the live parts touchable.",12-03-24,13-03-24
The locker door does not lock,The door of one of the wardrobes in the dressing room does not lock properly. Does not pose a safety risk.,19-03-24,21-03-24
Heavy lifting without aids,"An employee lifted a 25 kg sack from the floor alone without a lifting aid, a clear ergonomic risk.",26-03-24,27-03-24
Trash bin full,"The paper collection container in the break room is full. It does not cause danger, but it is untidy.",02-04-24,04-04-24
Sharp edge on the machine guard,"The protective cover of the tableting machine had a sharp edge, which causes a risk of cuts during maintenance work.",09-04-24,10-04-24
Eyewash bottle inspection outdated,The inspection date of the laboratory's emergency shower eyewash bottle had expired.,16-04-24,17-04-24
Dust on top of the shelf,Dust has accumulated on top of the high storage shelf. Does not pose a risk of product contamination or any other risk.,23-04-24,25-04-24
Gas cylinders stored incorrectly,"The compressed air bottles stood on the wall of the warehouse without chain fastening, risk of tipping over.",30-04-24,02-05-24
Damaged forklift fork,"The tip of the fork of one of the warehouse trucks was bent, which can cause unstable pallets and a risk of falling.",07-05-24,08-05-24
Warning sign faded,The warning sign indicating a wet floor was so faded that the text could no longer be clearly distinguished.,14-05-24,15-05-24
