Heading,Observation,observation_date,observation_processed_date
Damaged electrical cord,"A damaged electrical cable was found in the warehouse, the insulation of which had worn out in several places, with the exposed wires visible.",17-12-24,18-12-24
Unattended charging area,There were several devices in the battery charging area charging overnight without supervision or fire safety equipment.,03-12-24,04-12-24
UPS Device Warns of Fault,"The UPS device in the server room gave a continuous warning sound, but the device had not been serviced.",29-12-24,30-12-24
Electrical panel markings are missing,"The electrical panel lacked all markings, so it was impossible to identify the fuses and switches.",22-12-24,23-12-24
Charging batteries in an unsafe space,Lithium batteries were charged in a storage facility without fire safety equipment or supervision.,10-12-24,11-12-24
The electric motor makes abnormal noises,"The electric motor of the production unit made an abnormal noise, which may indicate a fault.",15-12-24,16-12-24
Instructions for using electrical appliances are missing,The new electrical appliances lacked instructions for use and safety markings in Finnish.,01-12-24,02-12-24
Stair railing wobbles,The stair railing has detached from its fastener and wobbles when used.,05-12-24,06-12-24
Wet floor in the hallway,A large and slippery puddle of water was noticed on the floor of the corridor. It is likely that water has leaked from the outdoor shoes.,11-12-24,12-12-24
Trash bin full,The trash can in the hallway was so full that the trash spilled over the edges.,08-12-24,09-12-24
Untidy workstation on the production line,"Extra items, tools and materials had accumulated at the workstation. The passage had narrowed and the risk of tripping had increased.",19-12-24,20-12-24
Cold chain broken,The material delivered to the refrigerator had been left in the warm space of the arrival pier for an unknown period of time before being stored.,27-12-24,28-12-24
Freezer door ajar,"The freezer door had been left ajar, which caused energy loss and possible temperature fluctuations.",14-12-24,15-12-24
Hand towel on the floor,There was a hand towel on the floor of the hand washing station that had fallen off the hook.,02-12-24,02-12-24
First aid cabinet incomplete,"I checked the contents of the first aid cabinet and noticed that it was missing several basic supplies, such as a wound dressing and tape rolls.",21-12-24,22-12-24
Slippery in the parking lot,The asphalt of the parking lot was frozen in the morning and several people almost slipped.,06-12-24,07-12-24
A pile of snow blocks visibility,"The plough truck had left a large pile of snow at the intersection, which blocks the visibility to traffic.",18-12-24,19-12-24
Ice on the stairs,There was ice on the outer stairs that had not been sanded.,09-12-24,10-12-24
Outdoor lighting in the dark,"The outdoor lighting in the parking area did not work, which made the area dark and dangerous.",23-12-24,24-12-24
Out of sanding sand,"The area near the front doors had run out of sanding sand, even though the weather was slippery.",12-12-24,13-12-24
Forklift warning lights broken,"The forklift's hazard lights did not work, which makes it difficult to notice others.",16-12-24,17-12-24
Emergency exit light in the dark,The emergency exit signal light had gone out and the route could not be seen in the dark.,04-12-24,05-12-24
Floor drain clogged,The floor drain in the production facility was clogged and water was collecting on the floor.,26-12-24,27-12-24
The smoke alarm beeps,"The smoke alarm in the office kept beeping, which interfered with work.",07-12-24,08-12-24
Pallet at an angle,"On the storage shelf, the pallet was crooked and threatened to tip over.",13-12-24,14-12-24
Forklift aisle markings worn out,The markings on the floor of the forklift aisle had worn almost invisible.,20-12-24,21-12-24
Ventilation does not work,The ventilation in the meeting room did not work and the air was stuffy.,10-12-24,11-12-24
Door pump broken,The door pump of the front door was broken and the door slammed slammed shut.,24-12-24,26-12-24
Office chair broken,The back of the office chair was broken and the chair tilted dangerously.,28-12-24,30-12-24
Elevator stuck,The freight elevator got stuck between two floors.,25-12-24,26-12-24
Poor lighting in the storage area,The lighting in the storage area was insufficient for safe work.,31-12-24,31-12-24
Unevenness of the floor,There was an uneven spot on the floor of the production facility that was easy to trip over.,03-12-24,04-12-24
Protective equipment is missing,The work site lacked mandatory protective equipment.,11-12-24,12-12-24
Chemical container leaks,The lid of the chemical container was loose and the contents had spilled onto the floor.,15-12-24,16-12-24
The crane does not work,The warehouse crane did not respond to use and got stuck.,19-12-24,20-12-24
Slip marks visible,"There was a slip mark on the floor, where the person had clearly slipped.",22-12-24,23-12-24
Toolbox open on the floor,The toolbox had been left open in the middle of the corridor.,05-12-24,06-12-24
Dust has accumulated in the engine room,"A lot of dust had accumulated in the engine room, which is a fire safety risk.",08-12-24,09-12-24
Access card left in the reader,The key card had been left in the reader and the door was open.,12-12-24,13-12-24
Fire blanket missing,"The kitchen lacked a fire blanket, even though it is a must-have.",17-12-24,18-12-24
Warning plate knocked over,The warning sign for the wet floor had fallen on the floor.,21-12-24,22-12-24
A person was running up the stairs,"The person ran down the stairs, carrying the items in both hands.",26-12-24,27-12-24
Protective gloves broken,The protective gloves used in the work were broken in several places.,30-12-24,31-12-24
The production line stopped abruptly,The production line stopped abruptly without warning.,04-12-24,05-12-24
Alarm button untested,The emergency alarm button had not been tested in connection with scheduled maintenance.,09-12-24,10-12-24
Gas cylinder without attachment,The gas cylinder stood freely without attachment to the wall.,14-12-24,15-12-24
Leak in the compressed air hose,There was a leak in the compressed air hose that caused a strong jet.,18-12-24,19-12-24
Floor painting worn out,The safety painting on the floor of the production facility had worn off.,23-12-24,24-12-24
The door does not have a window,"The door to the production facility does not have a window, which creates a risk of collision.",27-12-24,28-12-24
