Heading,Observation,observation_date,observation_processed_date
Water pond in the hallway,"There was a small puddle of water on the floor of the packaging department, which posed a risk of slipping.",10-01-24,11-01-24
Swinging railing on the stairs,"On the metal stairs between the production facilities, the railing swayed dangerously. The fastening failed.",18-01-24,19-01-24
Inadequate protective clothing,The employee handled the powdered substance without a respirator in a clean room.,25-01-24,26-01-24
Stuff left on the stairs,"Empty boxes had been left on the upper level of the stairs leading to the warehouse, there was a risk of tripping.",02-02-24,03-02-24
Chemical splash on the floor,"In the laboratory, there was a small amount of unknown chemicals on the floor without a warning label.",09-02-24,10-02-24
Emergency stop button covered,"In front of the emergency stop button on the mixer unit, there was a movable trolley that prevented quick operation.",16-02-24,17-02-24
Slippery step,One of the steps leading to the service platform was dangerously slippery.,23-02-24,24-02-24
Heavy lifting without aids,The warehouse worker lifted the heavy bag of raw materials alone without a lifting aid.,01-03-24,02-03-24
Fire corridor blocked,"In front of the emergency exit, there was a pallet full of cardboard waste, which narrowed the passageway.",08-03-24,09-03-24
Broken socket,"The casing of the socket in the dressing room was cracked, risk of electric shock.",15-03-24,16-03-24
Inadequate lighting on the stairs,"The lighting in the stairwell leading to the basement was inadequate, one lamp was burnt out.",22-03-24,23-03-24
Sharp edge at the workstation,The metal worktop of the packaging line had a sharp edge that you could hurt yourself on.,29-03-24,30-03-24
Tools on the floor,"After the maintenance work, a wrench and screwdrivers had been left on the floor.",05-04-24,06-04-24
Liquid splash on the stairs,"Coffee had spilled on the stairs leading to the break room, causing a slipping hazard.",12-04-24,13-04-24
Dust accumulated in the electrical cabinet,"A lot of dust had accumulated inside the old electrical cabinet of the production facility, a risk of fire.",19-04-24,20-04-24
Incorrect waste sorting,Reactive chemical waste had been placed in a normal laboratory waste container.,26-04-24,27-04-24
An employee ran up the stairs,The employee was observed running down the stairs on the office floor.,03-05-24,04-05-24
Gas cylinders without support,The gas cylinders in the laboratory stood freely against the wall without a chain or rack.,10-05-24,11-05-24
Shelf overloaded,The storage shelf had more stuff stacked than its weight limit allowed.,17-05-24,18-05-24
Worn floor covering,"The floor covering in the cleanroom was worn out, making cleaning difficult and causing a tripping hazard.",24-05-24,25-05-24
The anti-slip stair has come loose,The anti-slip tape had come off the edge of the staircase leading to the front door and was torn.,31-05-24,01-06-24
Damaged extension cord,"The insulation of the office extension cord had cracked, exposing internal wires.",07-06-24,10-06-24
The liquid in the eyewash bottle has expired,The eyewash bottle at the emergency shower station had expired.,14-06-24,15-06-24
A forklift was speeding,"In the warehouse area, the forklift driver drove clearly over the permitted speed limit.",21-06-24,24-06-24
Carrying a big box up the stairs,The employee was carrying a large box that completely blocked the view when going up the stairs.,28-06-24,01-07-24
Incomplete safety data sheets,The safety data sheet for the new chemical could not be found at the workstation.,05-07-24,08-07-24
Air conditioning duct leaks condensate,An air conditioning duct in the ceiling of the corridor dripped condensate onto the floor.,12-07-24,15-07-24
Muffler disconnected from the machine,"The muffler had come loose from the compressed air device, causing a lot of noise.",19-07-24,22-07-24
Pharmaceutical dust on surfaces,Pharmaceutical dust had remained on the surfaces of the weighing room after cleaning.,26-07-24,29-07-24
Dim lighting in the warehouse,"At the back of the warehouse, the lighting was so dim that it was difficult to read the labels of the products.",02-08-24,05-08-24
Garbage left on the stairs,There was rubbish and empty coffee cups on the stairs of the break room.,09-08-24,12-08-24
A heavy object on the edge of the shelf,"On a high storage shelf, there was a heavy box dangerously close to the edge.",16-08-24,19-08-24
The door slams shut,"The door of the production facility slammed slammed shut, risk of crushing.",23-08-24,26-08-24
Floor hatch poorly marked,"The floor hatch was open due to maintenance work, but there were no proper warning markings around it.",30-08-24,02-09-24
Cable in the walkway,"A charging cable had been pulled across the office corridor, a tripping hazard.",06-09-24,09-09-24
Protective gloves broken,The employee wore broken protective gloves when handling the corrosive substance.,13-09-24,16-09-24
Swinging stair railing,The railing of the stairs at the main entrance swayed and gave way when leaning.,20-09-24,23-09-24
The crane safety limit does not work,"The upper limit sensor of the production overhead crane did not work, causing a collision hazard.",27-09-24,30-09-24
Broken glass on the floor,"In the laboratory, a beaker glass had fallen and shards had spread over a wide area.",04-10-24,07-10-24
Hand washing station soap out of stock,"When entering the cleanroom, the soap dispenser at the hand washing station was empty.",11-10-24,14-10-24
Slippery outdoor staircase in the rain,"The factory's exterior stairs were very slippery in the rain, no roughening.",18-10-24,21-10-24
Emergency exit locked,One of the emergency exits was locked with a key from the inside.,25-10-24,28-10-24
Falling objects from the shelf,The vibration caused small items to fall off the shelf near the production line.,01-11-24,04-11-24
Wet rag on the stairs,"The cleaner had left a wet rag to dry on top of the stair railing, from where it had fallen onto the step.",08-11-24,11-11-24
Inadequate ergonomics in the packing room,"The work surface on the packaging line was too low, causing the workers to stooped over their working position.",15-11-24,18-11-24
Missing warning sign,There was no sign warning about the wet floor after cleaning.,22-11-24,25-11-24
Staircase step broken,"One of the steps on the concrete stairs was chipped, with a sharp edge and a pit.",29-11-24,02-12-24
Noisy device,"One of the machines on the production line made an exceptionally loud, hissing noise.",06-12-24,09-12-24
Icicles on the edge of the roof,"Large icicles hung above the main entrance, danger of falling.",13-12-24,16-12-24
An employee was talking on a mobile phone on the stairs,"The employee walked down the stairs while looking at the phone screen, distracted.",20-12-24,23-12-24
